Supplier Code,Brand,Task Code,Purchase Code,Contact Information,Company Name,Country,Website,Description,Fisrt Communicated By,store link
S-340,Aventics,1123,,Wechat Num: 13061703869,"Shanghai Bangxun Hydraulic Equipment Co., Ltd.",China,,Wechat-13 years,Hana,
S-341,MOXA,1144,,Wechat Num: 13311677022,"Luxi Automation Technology (Shanghai) Co., Ltd.",China,,Wechat-10 years,Hana,
S-342,PArker,1107,,Wechat Num: 13777570287,"Hangzhou Aikang Industrial Equipment Co., Ltd.",China,,Wechat- 9 years,Hana,
S-343,Parker,1103,,Wechat Num: 13588125221,"Hangzhou Nuodian Technology Co., Ltd.",China ,,Wechat- 11 years,Hana,
S-344,Megger,1151,,Wechat Num: 15920069059,"Shenzhen Junda Times Instrument Co., Ltd.",China,,Wechat-Special mark,Hana,
S-345,Telco ,1150,,Wechat Num: 13901600675,"Shanghai Kailu Electric Automation Control Equipment Co., Ltd.",China,,Wechat-19 years,Hana,
S-346,Itelcond,1156,,Wechat Num: 13422858626,"Shenzhen Chuangbaoxing Technology Co., Ltd.",China,,Wechat-10 years,Hana,
S-347,Itelcond,1156,,Wechat Num: 15915338232,"Shenzhen Ruishida Electronics Co., Ltd.",China,,Wechat- 7 years,Hana,
S-348,,,,email: uksales@hohner.com,Hohner Automation UK,,,,Alexander Lee,
S-349,Honeywell,1152,,Wechat Num: 13241121312,"Beijing Huatai Boan Technology Co., LTD",,,,Alexander Lee,
S-35,,,,,,,,,,
S-350,Telemecanique ,1170,,Wechat Num: 15061130906,"Nantong Aitang Automation Equipment Co., Ltd.",China,,Wechat- 8 years,Hana,
S-351,LIMITORQUE,1198,"1198, 177",Wechat Num: rjxbs666,"Ruijin Xibosi Technology Co., Ltd.",China,,Wechat- 7 years,Hana,
S-352,,,,Wechat Num: 18248887008,"Suzhou Shuiyunlou Technology Co., Ltd.",,,,Alexander Lee,
S-353,PNEUMAX,1171,,Wechat Num: 384395319,"Shenzhen Liming Industrial Technology Co., Ltd.",China,,Wechat-18 years,Hana,
S-354,Messko,1211,,Wechat Num: 17521192967,"Shanghai Suizhi Industrial Technology Co., Ltd.",China,,Wechat-6 years,Hana,
S-355,Messko,1211,,Wechat Num: 15026710082,"Shanghai GUDE Electronic Technology Co., Ltd.",China,,Wechat-12 years,Hana,
S-356,EATON,1228,,Wechat Num: 13701787216,"Shanghai Xiusheng Electric Co., Ltd.",China,,Wechat-14 years,Hana,
S-357,BOSCH REXROTH ,1171,,Wechat Num: 18260170124,"Suzhou Shibojing Automation Equipment Co., Ltd.",China,,Wechat- 11 years,Hana,
S-358,IFM,1238,,Wechat Num: 15959295713,"Xiamen Luyida Automation Technology Co., Ltd.",China,,Wechat-14 years,Hana,
S-359,Emerson,Transmitter,,Wechat Num:19905121916,,,,,Alexander Lee,
S-36,,,,,,,,,,
S-360,1241,ROTORK ,,Wechat Num:15158618288,"Zhejiang KND Automation Group Co., Ltd.",China,,Wehcta-5 years,Hana,
S-361,1116,ASHCROFT,,Email: florentina.chrisyanto@ashcroft.com.sg,-,,,Email-Main supplier,Hana,
S-362,1275,Direct Logic,,Wechat Num:13771093455,"Wuxi Langji Automation Technology Co., Ltd.",China,,Wechat-6 years,Alexander Lee,
S-363,1297,Emerson,,Wechat Num:18964364289,"Shanghai Ziyuan Automation Technology Co., Ltd.",China,,Wechat-11 years,Hana,
S-364,1297,Emerson,,Wechat Num:18117518150,"Shanghai Zhaosheng Industrial Co., Ltd.",China,,Wechat-11 years,Hana,
S-365,1297,Emerson,,Wechat Num:13761998865,"Shanghai Yiyan Mechanical and Electrical Equipment Co., Ltd.",China,,wechat-7 years,Hana,
S-366,1282,Foxboro,,Wechat Num:17301989714,"Four Point Zero Trading (Shenzhen) Co., Ltd.",China,,Wechat-Special mark,Hana,
S-367,ABB,1304,,Wechat Num: 19129538762,"Shenzhen Beineng Tech. Co., Ltd.",China,,Alibaba- 1 year,Atiye,
S-368,ABB,1304,,Wechat Num: 400-123-4567,"shenzhen sandou electronic technology Co.,Limited",China,,Alibaba- 7 year,Atiye,
S-369,ABB,1304,,Wechat Num: 18680210357,"Foshan Hedian Electric Co., Ltd.",China,,Alibaba- 1 year,Atiye,
S-37,,,,,,,,,,
S-370,ABB,1304,,Wechat Num: todontey_,"Quanzhou Zeyan Automation Technology Co., Ltd.",China,,Alibaba- 1 year,Atiye,
S-371,ABB,1304,,Wechat Num:,"Dongguan Fangzhou Automation Equipment Co., Ltd",China,,Alibaba- 2 year,Atiye,
S-372,Megger,1327,,Wechat Num:,"Beijing Kanggaote Instrument Equipment Co., Ltd.",China,,Wechat-6 years,Hana,
S-373,"Emerson,Yokogawa,Siemens,E+H,ABB",,,Wechat Num:18740447522,,China,,Email,Alexander Lee,
S-374,Bbattery,1385,,Wechat Num: 15098755383,"Guangzhou Guangyun Electric Co., Ltd.",China,,Wechat-6 years,Hana,not add
S-375,YOUNG TECH,1407,,Wechat Num:18056079709,"Hefei Dengsheng Automation Co., Ltd.",China,,Wechat-9 years,Hana,
S-376,PHOTOCELL,1399,,Wechat Id: sunnywindSW,,China,,Wechat-,,
S-377,DRAGER,1402,,Wechat Num:18601155211,"Beijing Hantai Technology Development Co., Ltd.",China,,Alibaba-5 years,Peter ,
S-378,DRAGER,1402,,Wechat Num:15801287636,"Beijing Zetron Technology Co., Ltd",China,,Alibaba-6years,Peter ,
S-379,vega,1409,,Wechat Num:JackNov21,"Kason Electronic Technology CO., LTD",China,,Alibaba-2years,Peter ,
S-38,,,,,,,,,,
S-380,Siemens,1409,,Wechat Num:siemens18606962262,"Hunan Xingrui Automation Technology Co.,Ltd",China,,Alibaba-2years,Peter ,https://shop97yx2179872w4.1688.com/
S-381,MICHELL INSTRUMENTS,1408,,Wechat Num: 18352506157,"Wuxi Taiwei Instrument Co., Ltd.",China,,Wechat-7 years,Hana,
S-382,PARKER,TDR-071,,Wechat Num:13301865030,"Shanghai WellService Crynogenic Vacuum Equipment Co.,Ltd.",China,,1688- 2 years,Peter ,
S-383,Hach,TDR-074,,Wechat Num:15962665850,"Suzhou Zhongang Instrument Co., Ltd.",China,,Wechat-11 years,Hana,
S-384,Hach,TDR-074,,Wechat Num:15962455777,"Suzhou Sailiwei Instrument Equipment Co., Ltd.",China,,Wechat- 12 years,Hana,https://detail.1688.com/offer/724024650821.html?spm=a26286.8251493.description.2.221425b2otzkAp
S-385,WANDFLUH,TDR-076,,Wechat Num:8618917740312,"Shanghai SAIZ Hydraulics Technology Co., Ltd",China,,Alibaba-6 years,Peter ,
S-386,WANDFLUH,TDR-076,,Wechat Num:18980029504,"Chengdu Yiyu Technology Co., Ltd",China,,Alibaba-9 years,Peter ,https://cdyiyu.en.alibaba.com/
S-387,WANDFLUH,TDR-076,,Wechat Num:13511065697,"Beijing Shangqi Hydraulic Equipment Co., Ltd.",China,,1688- 9 years,Peter ,
S-388,WANDFLUH,TDR-076,,Wechat Num:18081089361,"Chengdu Yiyu Technology Co., Ltd.and Sichuan Zhongdeli International Trade Co., Ltd.",China,,1688-5 years,Peter ,
S-389,APC,1421,,Wechat Num:15011360634,"Sandians (Beijing) Power Technology Co., Ltd.",China ,,Wechat- Special mark,Hana,
S-39,,,,,,,,,,
S-390,APC,1421,,Wechat Num:13552110225,"Beijing Appleton Technology Development Co., Ltd.",China,,Wechat- Special mark,Hana,
S-391,Fluke,TDR-081,,Wechat Num:8613420913178,"Shenzhen JJA Electronic Equipment Co., LTD",China,,Alibaba -8 years,Peter ,
S-392,Fluke,TDR-081,,Wechat Num:axp5201,"Shenzhen HOBOY Technology Co., Ltd.",China,,Alibaba -2 years,Peter ,
S-393,"Yokogawa, ABB",1428,,Wechat Num:18050025540,"Xiamen Xingruijia Import and Export Co., Ltd.",China,,Wechat- 7 years,Hana,
S-394,Danfoss,1440,,Wechat Num:13926285288,"Guangzhou Sizhuo Trading Co., Ltd.",China,,wechat-7 years,Hana,
S-395,ABB,1434,,Wechat Num:17323224910,"Chengdu Abobo Automation Equipment Co., Ltd.",China,,Wechat- 8 years,Hana,
S-396,Siemens,TDR-088,,Wechat Num:wxid_no60zbj8o66j12,"Shenzhen Yunyifeng Technology Co., Ltd.",China,,Alibaba- 5years,Peter ,
S-397,Dynisco,565,,Wechat Num:18922104000,"Guangzhou Zheyuan Electronics Co., Ltd.",China ,,wehcat-11 years,Hana,
S-398,oriux,,,Email: fadi@midsigncyprus.com,MIDSIGN CYPRUS LTD,,,,Alexander Lee,
S-399,Foxboro,1462,,Wechat Num:+8618020763272,"Xiamen Zhicheng Automation Technology Co.,ltd.",China,,Alibaba- 7 years,Peter ,
S-40,,,,,,,,,,
S-400,ASCO,1449,,Wechat Num:181 71195959,"Yueqing Shanda Automation Co., Ltd.",China,,Wechat-15 years,Hana,
S-401,ASAHI,1471,,Wechat Num:13269812179,"AOLIXIN INTERNATIONAL TRADE (BEIJING) CO., LTD.",China,,Wechat-11 years,Hana,
S-402,ABB,1463,,Wechat Num:15921540241,"Chongqing Yugan Mingrui Automation Technology Co., Ltd.",China,,Wechat-7 years,Hana,
S-403,Hirschmann,TDr-099,,Wechat Num:+86 18059287175,"Xiamen Tongkong Technology Co., Ltd.",China,,Alibaba-6 years ,Peter ,https://xmtktec.en.alibaba.com/
S-404,Krohne,1480,,Wechat Num:18104204844,"Anshan Fenghui Continuous Caster Machine Manufacture Co., Ltd.",China,,Alibaba-14 years,Peter ,
S-405,Emerson,TDR-108,,Wechat Num:18521563606,"Shanghai Zhuoli Refrigerant Equipment Co., Ltd.",China,,Alibaba-16 years,Peter ,
S-406,Emerson,TDR-108,,Wechat Num:+8615733895250,"Beijing Zhongzhiguochuang Automation Equipment Co., Ltd.",China,,Alibaba-12 years,Peter ,
S-407,Crevis,1504,,Wechat Num:18356015150,"Hefei Daxing Automation Technology Co., Ltd.",China,,1688-4 years,Peter ,
S-408,VEGA,1502,,Wechat Num:18602956869,"Xi'an Feng Yu Industry Co., Ltd.",China,,Alibaba-9 years,Peter ,
S-409,VEGA,1502,,Wechat Num:15611151242,RALPH AUTOMATION INC.,USA,,Alibaba-8 years,Peter ,
S-41,,,,,,,,,,
S-410,Crevis,1504,,Wechat Num:13115968656,"Quanzhou Miao Cheng Hai Electromechanical Equipment Co., Ltd.",China,,1688-4 years,Peter ,
S-411,E+H,1246,,Wechat Num:18721367440,"Shanghai Kanzaki Automation Instrument Co., Ltd.",China ,,Wechat-16 years,Hana,
S-412,VEGA,1502,,Wechat Num:18676082898,"Guangzhou Jiahan Machinery & Equipment CO., Ltd  |   Ocean Instruments & Materials (HK) Ltd. ",China ,,1688-13 years,Peter ,
S-413,VEGA,1502,,Wechat Num:18092045584,"Xi'an Hongliu Trading Co., Ltd.",China ,,1688-7 years,Alexander Lee,
S-414,CSB,TDR-117,,Wechat Num:18911559915,"Shan dong Farbit Power Equipment Co., Ltd",China ,,1688-5 years,Peter ,
S-415,TORAY,TDR-125,,Wechat Num: 15915738164,"Shenzhen Mingsheng Jiuzhou Industrial Co., Ltd.",China,,Wechat-10 years,Hana,
S-416,TORAY,TDR-125,,Wechat Num:15030298318,"Hebei Umek Environment Machine Co., Ltd.",China,,Alibaba-8 years,Peter ,
S-417,Hitachi,1520,,Wechat Num:15061448671,"Sichuan Xiankuan Trading Co., Ltd.",China,,1688-1 year,Peter ,
S-418,Hitachi,1520,,Wechat Num:sherry2300,"Chongqing Qianlixing Instrument Co., Ltd.",China,,Alibaba-4 years,Peter ,
S-419,SEW,11,,Wechat Num: 13829159578 ,"Guangdong Xiangru Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-9 years,Hana,
S-42,,,,,,,,,,
S-420,Nivelco,12,,Wechat Num:sj364557,"Chengdu Yueyu Manshun Trading Co., Ltd.",China,,1688-1 year,Peter ,
S-421,Yokogawa,22,,Wechat Num:13827450276,"Shenzhen Xinbaite Electronics Co., Ltd.",China,,Wechat-19 years,Hana,
S-422,ASCO,20,,Wechat Num:15007192649,"Wuhan Bestu Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-8 years,Hana,
S-423,Raychem,8,,Wechat Num:13670026665,"Shenzhen Wanchengjiaye Electronic Co., Ltd.",China,,Alibaba-1 year,Peter ,
S-424,Yamatake ,23,,Wechat Num:13720431941,"Shaanxi Nisilean Industry & Trade Co., Ltd.",China,,Wechat-3 years,Peter ,
S-425,Rittal,37,,Wechat Num: copa_71,"Rittal Electronic Machinery Technology (Shanghai) Co., Ltd.",China,,Wecaht-13 yer ,Hana,
S-426,ACREL ,37,,Wechat Num:18860995250 ,"Jiangsu Ankerui Electric Manufacturing Co., Ltd.",China ,,Wechat-10 years,Hana,
S-427,Rittal,37,,Wechat Num: 15813873170,"Shenzhen Dayuanhui Technology Co., Ltd.",China,,Wechat- 9 years,Hana ,
S-428,ACREL ,37,,Wechat Num: 18860995117,"Jiangsu Ankerui Electric Manufacturing Co., Ltd.",China ,,Wechat-16 years,Hana,
S-429,Rittal,37,,Wechat Num: 17717691371,"Dingning (Shanghai) Automation Technology Co., Ltd.",China ,,Wechast- 10 years,Hana ,
S-43,,,,,,,,,,
S-430,Rittal,37,,Wechat Num: 13917141363 ,"Shanghai Tansen Industrial Technology Co., Ltd.",China ,,Wechat- 10 years,Hana ,
S-431,ACREL,37,,Wechat Num: 18721095759,"Ankerui Electric Co., Ltd.",China ,,Wechat-12 years,Hana,
S-432,JUREN,37,,Wechat Num: 13736399879,"Zhejiang Shuntong Electric Co., Ltd.",China ,,Wechat-15 years,Hana,
S-433,JUREN,37,,Wechat Num: 18357772882,Yueqing Liushi Hongdao Electric Appliance Factory,China ,,Wechat-10 years,Hana ,
S-434,Bussmann,37,,Wechat Num: 15335279992,"Suzhou Shindengen Semiconductor Co., Ltd.",China ,,wechat-14 years,Hana ,
S-435,Bussmann,37,,Wechat Num:,"Kunshan Longchengxiang Electronics Co., Ltd.",China ,,Wechat-17 years,Hana,
S-436,Det-tronics ,32,,"Wechat Num:
18711810998","Shenzhen CTW Semiconductor Co., Ltd.",China ,,Alibaba-9 years,Peter ,
S-437,Det-tronics ,32,,Wechat Num:13197315832,"Qingdao Shengcailong Trading Co., Ltd.",China ,,1688-1 year,Peter ,
S-438,Det-tronics ,32,,Wechat Num:19851341647,"Chengdu Lihui Fusheng Technology Co., Ltd.",China ,,1688-1 year,Peter ,
S-439,ASCO,1449,,Wechat Num:,,,,,Alexander Lee,
S-44,,,,,,,,,,
S-440,AVENTICS,63,,Wechat Num:1391746620,"Shanghai Xiangze Machinery Equipment Co., Ltd. (Shanghai Pizato)",China ,,1688-3 years,Peter ,
S-441,AVENTICS,63,,Wechat Num:15307130607,"Shanghai Weimi Mechanical and Electrical Equipment Co., Ltd.",China ,,1688-11 years,Peter ,
S-442,AVENTICS,63,,Wechat Num:13061703869,"Shanghai Bangxun Hydraulic Equipment Co., Ltd.",China ,,1688-13 years,Peter ,
S-443,TRICONEX,64,,Wechat Num:15359021002,"Shenzhen Changxin Automation Equipment Co., Ltd.",China ,,1688-7 years,Peter ,
S-444,NPIC,37,,Wechat Num: q941200,"Shenzhen Xingzaixing Technology Co., Ltd.",China ,,Wechat- 16 years,Hana,
S-445,NPIC,37,,Wechat Num: 13723755021,"Shenzhen Baihui Weiye Co., Ltd.",China,,Wechat- 10 years,Hana,
S-446,Vega,66,,Wechat Num: 18092045584,"Xi'an Honglue Trading Co., Ltd.",China,,Wechat- 7 years,Hana,
S-447,SCHENCK,61,,Wechat Num:13511039384,"Suzhou Shuiyunlou Technology Co., Ltd.",China,,1688-6 years,Peter ,__________________https://qr.1688.com/s/fgVDzPW2 CZ0691 _____1688—____________
S-448,TRICONEX,64,,Wechat Num:13416810768,"Dongguan Fulingchuan Automation Equipment Co., Ltd.",China,,1688-4 years,Peter ,______________________https://qr.1688.com/s/ulIWU165 CZ9604 _____1688—____________
S-449,Raychem(TYCO),75,,Wechat Num:18905271727,"Jiangsu Sanniu Instrument Co., Ltd.",China,,1688-7 years,Peter ,_________________https://qr.1688.com/s/uskWnRlo CZ6165 _____1688—____________
S-45,,,,,,,,,,
S-450,TRICONEX,64,,Wechat Num:saul0025,"Xiamen Xingruijia Import and Export Co., Ltd.",China,,1688-7 years,Peter ,___________________https://qr.1688.com/s/uAUxOh1U CZ8135 _____1688—____________
S-451,Weidmuller,59,,Wechat Num: hhqh0818,"Guangzhou Weimi Electromechanical Equipment Co., Ltd.",China ,,Wechat - 8 years,Hana,
S-452,Weidmuller,59,,Wechat Num: 13671695957,"Shanghai Zengkui Automation System Co., Ltd.",China ,,Wechat 11 years,Hana,
S-453,BASLER,TDR-144,,Wechat Num:18118245588,"Yangzhou Smart Generator Co., Ltd.",China ,,1688-9 years,Peter ,https://smtgen.1688.com/
S-454,SOR,85,,Wechat Num:  18106967599,"Fujian Fuxia Meike Valve Co., Ltd.",China ,,1688-6 years,Peter ,https://fxmkfm.1688.com/
S-455,Burkert,92,,Wechat Num:13107718291,"Hangzhou Jiguang Technology Development Co., Ltd.",China ,,1688-3 years,Peter ,https://shop263if234r3863.1688.com/
S-456,BASLER,TDR-144,,Wechat Num:17876998643,"Shenzhen Yi Lide Industrial Automation Co., Ltd.",China,,Alibaba-6 years,Henry,https://www.alibaba.com/product-detail/DECS-250-LN2SN1N-Digital-Excitation-Control_1601252487269.html?chatToken=TDFKeWNGRlpkWFZTWmtkNFRYRnZjVWxhVTBsU1ozUklWbW96V1M5dmVGQkxla1pYWlZWM1RHTTBSM3BrU0ZwM1duVldhbkV5WnpJNVZEWm1jM05uY1dkb00za3dNa1ZZVFZkT2FrOXhVR0psVXpSMmIxVk1abWxKY2k4MFVqZ3lWemwwYTFobU5uWkNaMFoxYVdabk5FVTNZMEk0UmxFMFdXaFNheTl4Y0M5eWQzQkZValpEVmtSQ1NTdGlTMGxJYjNsWVJrSnljalpuUmtKa09EQXJaRzVXZFN0NWNYaGpVa2h2UFE9PSZ2ZXJzaW9uPTIuMC4w&encryptTargetLoginId=8pctgRBMALOu2BwsjJnecV64PgAq6I116wdkfYSa%2Bs4%3D
S-457,BASLER,TDR-144,,Wechat Num:15814253875,"Dongguan Huxin Electronics Co., Ltd.",China,,Alibaba- 1 year,Henry,https://www.alibaba.com/product-detail/Basler-AVR-DECS-200-2L-Digital_1601288132197.html?spm=a2700.galleryofferlist.normal_offer.d_price.2ed213a00h1TFU
S-458,SOR,92,,Wechat Num:17301989714,"Four Point Zero Trading Co., Ltd.",China,,1688-3 years,Peter ,https://shop186e733170m52.1688.com/
S-459,Rexroth,95,,Wechat Num:13725041464,"Huizhou Yishun Machinery Co., Ltd.",China,,1688-9 years,Peter ,https://shop1475642400972.1688.com/
S-46,,,,,,,,,,
S-460,BASLER,TDR-144,,Wechat Num:17841185702,"Pemp (guangzhou) Co., Ltd.",China,,Alibaba-4 years,Henry,https://www.alibaba.com/product-detail/Classic-Design-DECS-250N-Digital-Excitation_1601013487920.html?spm=a2700.galleryofferlist.normal_offer.d_price.6d8213a0IXCDWz
S-461,ASCO,90,,Wechat Num: 135 0180 3745,"Shanghai Weimi Mechanical and Electrical Equipment Co., Ltd.",China,,Wechat-  11 years,Hana,
S-462,Prominent,TDR-149,,Wechat ID: rosebard2008,"ProMinent Fluid Control (Shanghai) Co., Ltd.",China,,Wechat,Henry,
S-463*,Rexroth,95,,Wechat Num:1500965683,"Shanghai Debo Pneumatic and Hydraulic Technology Co., Ltd.",China,Rexroth agent,1688-4 years,Peter ,https://shop77g0410164a24.1688.com/
S-464,Delta,101,,Wechat Num: AusmusCEO,"Ningbo Ausmus Industrial Equipment Co., Ltd",China,,Neshati ,Alexander Lee,Email:gavin@ausmus.cn
S-465,IKO,105,,Wechat Num:13825869767,New Risheng Store,China,,1688-9 years,Peter ,https://qr.1688.com/s/iP9hfkDO
S-466,Schneider,112,,Wechat Num:13115968656,"Zhangzhou Kebang Mechanical and Electrical Equipment Co., Ltd.",China,,1688-6 years,Peter ,https://shop16919597m4734.1688.com/
S-467,Schneider,112,,Wechat Num:18522460251,"Tianjin Baizuo Technology Co., Ltd.",China,,1688-6 years,Peter ,https://18522460251.1688.com/
S-468,Emerson,100,,Wechat Num: 17623040467,Shaanxi Tebeisi Electronic Technology Co. LTD ,,,,Alexander Lee,
S-469,Expo,109,,Wechat Num: 15821679873,"Expo Shanghai Comer M&E Equipment Co.,Ltd",China,,Wechat,Henry,"Mobile: (0086)15502189929
Wechat: 15821679873
E-mail: wyt@expotechcn.com
Website_www.expotechcn.com.cn"
S-47,,,,,,,,,,
S-470,ABB,155,,Wechat Num: 15072356084,"Wuhan Hongchuang Weiye Technology Co., Ltd.",China,,Wechat- 15 years,Hana,
S-471,Firetrol,189,,Wechat Num:13412565996,"Wuxi Taiweiwei Mechanical and Electrical Equipment Co., Ltd.",China,,1688-4 years,Peter ,https://shop5459m424k5035.1688.com/
S-472,CLA-VAL,179,,Wechat Num: 17316586303,Shanghai Haoyu Industrial Trade Co. Ltd,China,,1688-6 years,Henry,
S-473,WIKA,183,,Wechat Num: 17611358833,"handong Runze North Measurement And Control Equipment Co., Ltd",China,,Alibaba- 1 year,Henry,https://www.alibaba.com/product-detail/Bypass-level-indicator-With-magnetic-display_1601294427116.html?chatToken=dTVOQ0lHSDBGNnNIYWVkZGdQNnBUQmFobFpIN2dKZldNdlpFS2lhMTJrSldUKzV0MW5BNFd2K1BmK0dSRzM5SlJKbUJ5M2ZuSDVkWU9PTUJ4OS9vTG00OXkwK0tKN0MxSG1sdEdEaTl3emJQb0RDc3RnTjZCajNhSjcvTHc0TEZ4ZklpMU5vUjlXaXkxY3E3MnIrWmNQenpYWXV6R0RuSTAzWlVQTjgwR2xOcVd0aExLb2I4N1orMlJUNlUxanFiJnZlcnNpb249MS4wLjA%3D&encryptTargetLoginId=8pctgRBMALMjzNV%2FzjtP1g%3D%3D
S-474,Weidmuller,59,,Wechat Num:18065927381 ,"Xiamen Miller Electrical Equipment Co., Ltd.",China ,,Wechat-11 years,Hana ,
S-475,Schneider,193,,Wechat Num: chenyuen2099,Shenzhen Chenonn Electronic Limited,China ,,Alibaba- 9 years,Henry,https://www.alibaba.com/product-detail/-Power-Relays-RXM3AB1B7_1601347575238.html?spm=a2700.galleryofferlist.normal_offer.d_title.f69c13a0LOgTsz
S-476,Schneider,193,,Wechat Num: 13712775152,Zhantuo Electromechanical,China ,,1688- 11 years,Henry,
S-477,Togami,193,,Wechat Num: 15901732838,"Shanghai Chaoma Import and Export Co., Ltd",China ,,1688-22 years,Henry,
S-478,ABB,199,,Wechat Num:18616539406,"Shanghai Xiangwei Electronic Technology Co., Ltd.",China ,,Wechat- 12 years,Hana,
S-479,ItalWeber,,,Wechat Num: 18961129138,"Changzhou Shengming Electronics Co., Ltd.",China ,,Wecaht- 10 years,Hana ,
S-48,,,,,,,,,,
S-480,Carrier,193,,Wechat Num: 18520807054,"Shenzhen Delixin Technology Co., Ltd",China ,,1688-4 years,Henry,
S-481,Danfoss,193,,Wechat Num: 17802114406,"Shanghai Zhisai Automation Technology Co., Ltd",China ,,1688-16 years,Henry,
S-482,ABB,199,,Wechat Num: 180 2105  2656,"Shanghai Aize Industrial Equipment Co., Ltd.",China ,,Wechat- 10 years,Hana ,
S-483,Togami,193,,Wechat Num: 13316235553,"Guangzhou Guangming Electromechanical Equipment Engineering Co., Ltd",China ,,Alibaba-4 years,Henry,
S-484,WIKA,157,,Wechat Num: wika930122,,,,,,
S-485,WIKA,157,,Wechat Num: wxid_1oox2gwjenf612,,,,,,
S-486,WIKA,157,,Wechat Num: a15718877638,,,,,,
S-487,Norgren,233,,Wechat Num:13540708719,"Chengdu Zhitao Automation Equipment Co., Ltd.",China ,,1688-8 years,Peter,https://cdztnorgren.1688.com/
S-488,Norgren,233,,Wechat Num:Hh15216672445,"Shanghai Tuyue Machinery Equipment Co., Ltd.",China ,,1688-11 years,Peter,https://shop1401814433881.1688.com/
S-489,TON-E,73,,Wechat Num: hzgute,Huizhou Huicheng District Good Machinery Equipment Factory,China ,,Wechat-14 years,Hana ,
S-49,,,,,,,,,,
S-490,Nicolet,219,,Wechat Num: 13651923355,"Shanghai GuiYi Biochemical Technology Co., LTD",China ,,1688- 7 years,Henry,https://shop7u66f569676m4.1688.com/
S-491,Balluff,74,,Wechat Num: 18219208911,"Shenzhen Surprise Industrial Technology Co., Ltd.",China ,,Wechat - 7 years,Hana ,
S-492,ABB,210,,Wechat ID:  wxid_88lmpzh1abjn22,"Nanjing Liutian Electric Co., Ltd.",China ,,Wechat- 7 years,Hana ,
S-493,Omron ,239,,Wechat Num: 13950120524,"Xiamen Huajin Industry and Trade Co., Ltd.",China ,,Wechat - 11 years,Hana ,
S-494,Nicolet,219,,Wechat Num: 13861735296,"Wuxi Teradyne Technology Co., Ltd.",China ,,1688-11 years,Henry,
S-495,Marchel,234,,Wechat Num: 15317587682,"Shanghai Green Tim Technology Co., Ltd",China ,,1688-9 years,Henry,
S-496,Siemens,204,,Wechat Num:17505413968,"Shanghai Kangsong Environmental Protection Technology Co., Ltd.",China ,,1688-1 year,Peter,https://shop8603600903883.1688.com/
S-497,Siemens,204,,Wechat Num:18030177860,"Xiamen Rongfeng Electrical Equipment Co., Ltd.",China ,,1688-2 years,Peter,https://shop69f7r640571f8.1688.com/
S-498,Omron,239,,Wechat Num:13003118825,"Shanghai Tiannai Automation System Co., Ltd.",China ,,1688-2 years,Peter,https://shop47710q36z7088.1688.com/
S-499,Marchel,234,,Wechat Num: 15317587682,"Shanghai Green Technology Co., Ltd.",China ,,Wechat - 9 years,Hana,
S-50,,,,,,,,,,
S-500,P+f,256,,Wechat Num: 13816754864,"Shanghai Zhuoshi Automation Equipment Co., Ltd.",China ,,Wechat- 10 years,Hana ,
S-501,P+F,256,,Wechat Num: 13671849076,"Black Goose (Shanghai) Automation Equipment Co., Ltd.",China ,,Wechat-14 years,Hana ,
S-502,Megger,151,,Wechat Num: 13823376077,"Shenzhen Yili Chuangneng Technology Co., Ltd.",China ,,Wechat - 15 years,Hana ,
S-503,Siemens,204,,Wechat Num:18930079995,"Shanghai Changtianle Electromechanical Technology Group Co., Ltd.",China ,,1688-12 years,Peter,
S-504,Belimo ,157,,Wechat Num: 18612702909,"Beijing Yimier Technology Co., Ltd.",China ,,Wechat- 13 years,Hana,
S-505,Belimo ,157,,Wechat Num: 18773193115  ,"Changsha Nanyin Electromechanical Equipment Co., Ltd.",China ,,Wechat - 13 years,Hana ,
S-506,Bleimo,157,,Wechat Num: 13301299774,"Beijing Wenda Weiye Mechanical and Electrical Equipment Co., Ltd.",China ,,Wechat- 18 years,Hana ,
S-507,Megger,151,,Wechat Num: 18037675584," Faxy-Tech co., LTD",China,,,Alexander ,
S-507,Fluke,151,,Wechat Num: 18037675584," Faxy-Tech co., LTD",China,,,Alexander ,
S-508,Harting,246,,Wechat Num:13316516510,"Lide Commercial Building, Phase II, New Asia Electronics Market, Futian District, Shenzhen",China ,,Wechat- 15 years,Hana ,
S-509,Bleimo,157,,Wechat Num: 18516578186 ,"Shanghai Shunming Industrial Co., Ltd.",China ,,Wechat- 11 years,Hana ,
S-510,Mettler Toledo,TDR-152,,Wechat Num: 13322926466,"Shenzhen Deyouping Technology Co., Ltd.",China ,,1688-11 years,Henry,
S-511,Vibro Meter,TDR-155,,Wechat Num: 18020721390,"Zhejiang Yiwu Beixun Automation Technology Co., Ltd.",China ,,1688-2 years,Henry,
S-512,IKO,105,,Wechat Num:13361903388,"Shanghai Xiyu Precision Bearing Co., Ltd.",China ,,1688-13 years,Peter,https://xiyubearing.1688.com/
S-513,Schneider ,TDR-160,,Wechat Num: 17740823655,"Nanjing Yuling Technology Co., Ltd",China ,,Alibaba-3 years,Henry,https://njyuling.en.alibaba.com/index.html?spm=a2700.details.0.0.7d203152jHMxOK&from=detail&productId=1601111673181
